epoch,train_loss,val_loss
1,0.559248,0.080222
2,0.454807,0.055560
3,0.444232,0.059662
4,0.441550,0.064180
5,0.440067,0.063110
6,0.439422,0.069972
7,0.437472,0.064566
8,0.436699,0.062560
9,0.437030,0.064867
10,0.435135,0.053900
11,0.436001,0.067800
12,0.435469,0.062932
13,0.434753,0.064724
14,0.434424,0.068417
15,0.433790,0.061449
16,0.434194,0.059492
17,0.434641,0.061077
18,0.432780,0.062277
19,0.434443,0.061529
20,0.430960,0.068634
21,0.432661,0.053553
22,0.431592,0.063969
23,0.432600,0.064515
24,0.433015,0.058741
25,0.432418,0.065649
26,0.433190,0.065301
27,0.432749,0.064088
28,0.431606,0.065697
29,0.431241,0.062040
30,0.431468,0.065893
31,0.430794,0.068468
32,0.433271,0.070119
33,0.431405,0.063702
34,0.431458,0.069731
35,0.431561,0.073847
36,0.430932,0.068155
