epoch,train_loss,val_loss
1,0.164341,0.105186
2,0.146625,0.094037
3,0.141139,0.100930
4,0.138988,0.093504
5,0.138058,0.098402
6,0.138300,0.100354
7,0.133231,0.092030
8,0.136449,0.098679
9,0.127129,0.092321
10,0.126319,0.088078
11,0.122476,0.095108
12,0.121279,0.095578
13,0.118978,0.100877
14,0.117655,0.100736
15,0.117082,0.088486
16,0.115084,0.095723
17,0.113952,0.096081
18,0.112815,0.095325
19,0.112729,0.100174
20,0.110792,0.106113
21,0.109884,0.099275
22,0.108355,0.098672
23,0.107377,0.090786
24,0.105932,0.102815
25,0.104913,0.118465
